,,,,,,,,,,
11/29/2015,14:39,FP #2S ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  ,139.81,2.28,-318.62,-1, 
11/29/2015,14:39,FP Discount ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,56.06, , 
11/29/2015,14:39,FP TOTAL ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,-262.56,-1,20300.48
11/29/2015,17:13,FP #2S ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,129.9,2.24,-290.86,-1, 
11/29/2015,17:13,FP OTH ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,5.66,2.86,-16.19, , 
11/29/2015,17:13,FP Discount ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,50.53, , 
11/29/2015,17:13,FP TOTAL ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,-256.52,-1,20042.96
11/29/2015,18:20,FP #2S ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  ,134.13,2.48,-332.51,-1, 
11/29/2015,18:20,FP Discount ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,66.39, , 
11/29/2015,18:20,FP TOTAL ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,-266.12,-1,19775.84
11/29/2015,18:23,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,100.33,2.37,-237.69,-1, 
11/29/2015,18:23,FP OTH ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,6.63,2.86,-18.95, , 
11/29/2015,18:23,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,42.44, , 
11/29/2015,18:23,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-214.2,-1,19560.64
11/29/2015,19:28,FP #2S ,TA-GREENEVILLE 195 VAN HILL RD  ,GREENEVILLE ,TN  ,93.74,2.3,-215.5,-1, 
11/29/2015,19:28,FP TOTAL ,TA-GREENEVILLE 195 VAN HILL RD  ,GREENEVILLE ,TN  , , ,-215.5,-1,19344.14
11/29/2015,19:37,FP OTH ,TA-GREENEVILLE 195 VAN HILL RD  ,GREENEVILLE ,TN  ,15,2.79,-41.84, , 
11/29/2015,19:37,FP TOTAL ,TA-GREENEVILLE 195 VAN HILL RD  ,GREENEVILLE ,TN  , , ,-41.84, ,19302.3
11/29/2015,21:41,FP #2S ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  ,38.08,2.32,-88.31,-1, 
11/29/2015,21:41,FP Discount ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,20.72, , 
11/29/2015,21:41,FP TOTAL ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,-67.59,-1,19233.71
