,,,,,,,,,,
12/29/2015,16:17,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,9.55, , 
12/29/2015,16:17,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-248.67,-1,19196.99
12/29/2015,16:41,FP #2S ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,111.65,2.33,-259.59,-1, 
12/29/2015,16:41,FP OTH ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,3.97,2.86,-11.36, , 
12/29/2015,16:41,FP RFR ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,25.78,2.33,-59.94, , 
12/29/2015,16:41,FP Discount ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,90.98, , 
12/29/2015,16:41,FP TOTAL ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,-239.91,-1,18956.08
12/29/2015,16:42,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,30.05,2.35,-70.61,-1, 
12/29/2015,16:42,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-70.61,-1,18884.47
12/29/2015,17:04,FP #2S ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,124.18,2.84,-352.56,-1, 
12/29/2015,17:04,FP OTH ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,6.62,2.95,-19.53, , 
12/29/2015,17:04,FP Discount ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,114.12, , 
12/29/2015,17:04,FP TOTAL ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,-257.97,-1,18625.5
12/29/2015,17:06,Load ,  , , , , ,65495.87,-4,84117.37
12/29/2015,19:26,FP #2S ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,181.29,1.98,-358.78,-1, 
12/29/2015,19:26,FP Discount ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,66.9, , 
12/29/2015,19:26,FP TOTAL ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,-291.88,-1,83824.49
12/29/2015,19:29,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,58.11,2,-116.17,-1, 
12/29/2015,19:29,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,19.7, , 
12/29/2015,19:29,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-96.47,-1,83727.02
12/29/2015,19:52,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,165.36,2.36,-390.09,-1, 
12/29/2015,19:52,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,109.8, , 
12/29/2015,19:52,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-280.29,-1,83445.73
12/29/2015,19:57,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,13.12,2.86,-37.52, , 
12/29/2015,19:57,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-37.52, ,83408.21
12/29/2015,20:08,FP RFR ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,20.72,2.36,-48.89,-1, 
12/29/2015,20:08,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,13.78, , 
12/29/2015,20:08,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-35.11,-1,83372.1
12/29/2015,20:28,FP #2S ,TA-OAKLEY JCT. I-70 & US 40  ,OAKLEY ,KS  ,137.41,2,-274.68,-1, 
12/29/2015,20:28,FP OTH ,TA-OAKLEY JCT. I-70 & US 40  ,OAKLEY ,KS  ,12.12,2.7,-32.72, , 
12/29/2015,20:28,FP Discount ,TA-OAKLEY JCT. I-70 & US 40  ,OAKLEY ,KS  , , ,36.55, , 
12/29/2015,20:28,FP TOTAL ,TA-OAKLEY JCT. I-70 & US 40  ,OAKLEY ,KS  , , ,-270.85,-1,83100.25
12/29/2015,23:58,FP OIL ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  ,1,20.89,-20.89,-1, 
12/29/2015,23:58,FP TOTAL ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  , , ,-20.89,-1,83078.36
