,,,,,,,,,,
11/14/2015,2:37,FP TOTAL ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,-241.4,-1,28742.3
11/14/2015,4:42,FP #2S ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  ,56.07,3.07,-172.08,-1, 
11/14/2015,4:42,FP OTH ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  ,15.6,2.85,-44.43, , 
11/14/2015,4:42,FP Discount ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  , , ,36.22, , 
11/14/2015,4:42,FP TOTAL ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  , , ,-180.29,-1,28561.01
11/14/2015,5:18,FP OTH ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,11.08,2.86,-31.67,-1, 
11/14/2015,5:18,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-31.67,-1,28528.34
11/14/2015,5:24,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,64.17,2.67,-171.13,-1, 
11/14/2015,5:24,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,0.66,2.68,-1.77, , 
11/14/2015,5:24,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,37.42, , 
11/14/2015,5:24,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-135.48,-1,28391.86
11/14/2015,11:26,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,76.72,2.87,-220.12,-1, 
11/14/2015,11:26,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,37.06, , 
11/14/2015,11:26,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-183.06,-1,28207.8
11/14/2015,11:47,FP #2S ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  ,130.77,2.56,-334.64,-1, 
11/14/2015,11:47,FP OTH ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  ,16.75,2.85,-47.72, , 
11/14/2015,11:47,FP Discount ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,45.25, , 
11/14/2015,11:47,FP TOTAL ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,-337.11,-1,27869.69
11/14/2015,13:26,FP #2S ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,85.69,2.47,-211.57,-1, 
11/14/2015,13:26,FP OTH ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,3.95,2.86,-11.28, , 
11/14/2015,13:26,FP RFR ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,18.33,2.47,-45.25, , 
11/14/2015,13:26,FP Discount ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,51.18, , 
11/14/2015,13:26,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-216.92,-1,27651.77
11/14/2015,13:36,FP #2S ,"PETRO FUEL #10 I-12 @ HWY 51, EXT. 40  ",HAMMOND ,LA  ,160.34,2.34,-375.03,-1, 
11/14/2015,13:36,FP Discount ,"PETRO FUEL #10 I-12 @ HWY 51, EXT. 40  ",HAMMOND ,LA  , , ,70.87, , 
11/14/2015,13:36,FP TOTAL ,"PETRO FUEL #10 I-12 @ HWY 51, EXT. 40  ",HAMMOND ,LA  , , ,-304.16,-1,27346.61
11/14/2015,18:46,FP OTH ,"TA-MERIDIAN I-20 & I-59, #160  ",MERIDIAN ,MS  ,5,2.85,-14.25,-1, 
11/14/2015,18:46,FP TOTAL ,"TA-MERIDIAN I-20 & I-59, #160  ",MERIDIAN ,MS  , , ,-14.25,-1,27331.36
11/14/2015,21:09,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,130.05,2.76,-359.33,-1, 
11/14/2015,21:09,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,86.61, , 
11/14/2015,21:09,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-272.72,-1,27057.64
11/14/2015,23:48,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,140.81,2.49,-350.47,-1, 
11/14/2015,23:48,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,63.79, , 
11/14/2015,23:48,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,-286.68,-1,26769.96
