  Date    ,Time,Description,Location,City,State,Product Qty,Unit Cost,Amount,        Fee,Balance
07/08/15 ,10:56 ,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,,, -273.14, -1.00, 30596.77
07/08/15 ,11:18 ,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , 45.50, 2.80, -127.34, -1.00,
07/08/15 ,11:18 ,FP OTH ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , 3.43, 2.75, -9.42,,
07/08/15 ,11:18 ,FP RFR ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , 31.66, 2.80, -88.61,,
07/08/15 ,11:18 ,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,,, 40.04,,
07/08/15 ,11:18 ,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,,, -185.33, -1.00, 30410.44
07/08/15 ,13:46 ,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , 42.32, 3.26, -137.91, -1.00,
07/08/15 ,13:46 ,FP RFR ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , 54.16, 3.26, -176.52,,
07/08/15 ,13:46 ,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,,, 31.74,,
07/08/15 ,13:46 ,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,,, -282.69, -1.00, 30126.75
07/08/15 ,16:10 ,Load ,  ,,,,, 12010.80, -4.00, 42133.55
