,,,,,,,,,,
12/20/2015,16:19,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,1.44,3.01,-4.33, , 
12/20/2015,16:19,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,33.78, , 
12/20/2015,16:19,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-108.06,-1,39196.85
12/20/2015,17:46,FP #2S ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,40.33,2.29,-92.31,-1, 
12/20/2015,17:46,FP Discount ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,27.83, , 
12/20/2015,17:46,FP TOTAL ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,-64.48,-1,39131.37
12/20/2015,19:01,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,50,2.4,-119.96,-1, 
12/20/2015,19:01,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,30.75, , 
12/20/2015,19:01,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-89.21,-1,39041.16
12/20/2015,19:46,FP #2S ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  ,93.87,2.17,-203.6,-1, 
12/20/2015,19:46,FP Discount ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,61.77, , 
12/20/2015,19:46,FP TOTAL ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,-141.83,-1,38898.33
12/20/2015,20:03,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,98.37,2.4,-235.99,-1, 
12/20/2015,20:03,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,60.5, , 
12/20/2015,20:03,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-175.49,-1,38721.84
12/20/2015,21:18,FP #2S ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  ,155.64,2.17,-337.59,-1, 
12/20/2015,21:18,FP Discount ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,102.41, , 
12/20/2015,21:18,FP TOTAL ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,-235.18,-1,38485.66
