,,,,,,,,,,
12/12/2015,11:15,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-284.29,-1,80890.16
12/12/2015,12:58,FP #2S ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  ,119.24,2.6,-309.89,-1, 
12/12/2015,12:58,FP OTH ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  ,9.25,2.86,-26.45, , 
12/12/2015,12:58,FP Discount ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  , , ,80.96, , 
12/12/2015,12:58,FP TOTAL ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  , , ,-255.38,-1,80633.78
12/12/2015,15:07,FP #2S ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,159.69,2.02,-322.41,-1, 
12/12/2015,15:07,FP OTH ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,11.25,2.85,-32.04, , 
12/12/2015,15:07,FP Discount ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,61.32, , 
12/12/2015,15:07,FP TOTAL ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,-293.13,-1,80339.65
12/12/2015,17:44,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,144.93,2.26,-327.39,-1, 
12/12/2015,17:44,FP OTH ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,10.69,2.76,-29.49, , 
12/12/2015,17:44,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,67.1, , 
12/12/2015,17:44,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-289.78,-1,80048.87
12/12/2015,18:09,FP #2S ,TA-BAYTOWN (HOUSTON) I-10 & THOMPSON RD EXIT 7  ,BAYTOWN ,TX  ,52.11,2.32,-120.84,-1, 
