,,,,,,,,,,,
12/25/2015,11:42,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-192.87,-1,79003.57,
12/25/2015,12:55,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,59.89,2.36,-141.28,-1, ,
12/25/2015,12:55,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,2.28,2.86,-6.53, , ,
12/25/2015,12:55,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,38.45, , ,
12/25/2015,12:55,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-109.36,-1,78893.21,
12/25/2015,15:18,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,50.3,2.36,-118.66,-1, ,
12/25/2015,15:18,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,27.97, , ,
12/25/2015,15:18,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-90.69,-1,78801.52,
12/25/2015,16:47,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,49.66,2.03,-100.76,-1, ,
12/25/2015,16:47,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,15.54, , ,
12/25/2015,16:47,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-85.22,-1,78715.3,
12/25/2015,17:06,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,118.2,2.36,-278.84,-1, ,
12/25/2015,17:06,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,75.88, , ,
12/25/2015,17:06,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-202.96,-1,78511.34,
12/25/2015,17:26,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,144.67,1.98,-286.31,-1, ,
12/25/2015,17:26,FP OTH ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,6.61,2.86,-18.9, , ,
12/25/2015,17:26,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,19.53, , ,
12/25/2015,17:26,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-285.68,-1,78224.66,
12/25/2015,17:54,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,127.34,1.98,-252,-1, ,
12/25/2015,17:54,FP OTH ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,9.13,2.86,-26.09, , ,
12/25/2015,17:54,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,17.19, , ,
12/25/2015,17:54,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-260.9,-1,77962.76,
12/25/2015,18:49,FP RFR ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,16.38,1.98,-32.41,-1, ,
12/25/2015,18:49,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,2.21, , ,
12/25/2015,18:49,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-30.2,-1,77931.56,
