,,,,,,,,,,
11/21/2015,9:13,FP TOTAL ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,-224.37,-1,33217.57
11/21/2015,9:15,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,153.3,2.48,-380.02,-1, 
11/21/2015,9:15,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,113.9, , 
11/21/2015,9:15,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-266.12,-1,32950.45
11/21/2015,9:25,FP #2S ,PILOT #892 1085 EAST MAIN STREET  ,GREEN RIVER ,UT  ,150.3,2.4,-360.59,-1, 
11/21/2015,9:25,FP TOTAL ,PILOT #892 1085 EAST MAIN STREET  ,GREEN RIVER ,UT  , , ,-360.59,-1,32588.86
11/21/2015,10:05,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,87.93,2.69,-236.43,-1, 
11/21/2015,10:05,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,35.26, , 
11/21/2015,10:05,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-201.17,-1,32386.69
11/21/2015,10:39,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,94.51,2.5,-236.19,-1, 
11/21/2015,10:39,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,41.21, , 
11/21/2015,10:39,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-194.98,-1,32190.71
11/21/2015,12:05,FP #2S ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  ,60.02,2.73,-163.78,-1, 
11/21/2015,12:05,FP RFR ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  ,15.03,2.73,-41.02, , 
11/21/2015,12:05,FP Discount ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  , , ,45.85, , 
11/21/2015,12:05,FP TOTAL ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  , , ,-158.95,-1,32030.76
11/21/2015,14:31,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,36.01,2.49,-89.64,-1, 
11/21/2015,14:31,FP OTH ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,3.59,2.8,-10.04, , 
11/21/2015,14:31,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,11.42, , 
11/21/2015,14:31,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-88.26,-1,31941.5
11/21/2015,17:54,FP RFR ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,11.8,2.48,-29.24,-1, 
11/21/2015,17:54,FP Discount ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,4.99, , 
11/21/2015,17:54,FP TOTAL ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,-24.25,-1,31916.25
11/21/2015,18:19,FP #2S ,PILOT #903 I-70 EXIT 252 1MI  ,SALINA ,KS  ,148.57,2.35,-349,-1, 
11/21/2015,18:19,FP TOTAL ,PILOT #903 I-70 EXIT 252 1MI  ,SALINA ,KS  , , ,-349,-1,31566.25
11/21/2015,19:10,FP #2S ,TA-OAKLEY JCT. I-70 & US 40  ,OAKLEY ,KS  ,128.04,2.35,-300.77,-1, 
11/21/2015,19:10,FP OTH ,TA-OAKLEY JCT. I-70 & US 40  ,OAKLEY ,KS  ,11.86,2.7,-32, , 
11/21/2015,19:10,FP Discount ,TA-OAKLEY JCT. I-70 & US 40  ,OAKLEY ,KS  , , ,29.07, , 
11/21/2015,19:10,FP TOTAL ,TA-OAKLEY JCT. I-70 & US 40  ,OAKLEY ,KS  , , ,-303.7,-1,31261.55
11/21/2015,20:09,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,120.48,2.39,-287.83,-1, 
11/21/2015,20:09,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,6.44,2.86,-18.42, , 
11/21/2015,20:09,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,13.98, , 
11/21/2015,20:09,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-292.27,-1,30968.28
11/22/2015,3:02,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,119.09,2.47,-294.03,-1, 
11/22/2015,3:02,FP OTH ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,3.07,2.76,-8.47, , 
11/22/2015,3:02,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,48.23, , 
11/22/2015,3:02,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-254.27,-1,30713.01
